SERVICIO DE SALUD,COMUNA,ESTABLECIMIENTO,Cupos,Comentario,Opiniones EDF
METROPOLITANO CENTRAL,CERRILLOS,CENTRO DE SALUD FAMILIAR DR. NORMAN VOULLIEME,1,descartado,
METROPOLITANO CENTRAL,ESTACION CENTRAL,CENTRO DE SALUD FAMILIAR LAS MERCEDES,1,descartado,
METROPOLITANO CENTRAL,ESTACION CENTRAL,CENTRO DE SALUD FAMILIAR PADRE VICENTE IRARRAZABAL,2,descartado,
METROPOLITANO CENTRAL,ESTACION CENTRAL,CENTRO DE SALUD FAMILIAR SAN JOSE DE CHUCHUNCO,2,descartado,
METROPOLITANO CENTRAL,MAIPU,CENTRO DE SALUD FAMILIAR DR. LUIS FERRADA,1,descartado,
METROPOLITANO CENTRAL,MAIPU,CENTRO DE SALUD FAMILIAR DRA. ANA MARIA JURICIC,2,descartado,
METROPOLITANO CENTRAL,MAIPU,CENTRO DE SALUD FAMILIAR MAIPU,1,descartado,
METROPOLITANO CENTRAL,MAIPU,CENTRO DE SALUD FAMILIAR PRESIDENTA MICHELLE BACHELET,1,descartado,
METROPOLITANO CENTRAL,SANTIAGO,CENTRO DE SALUD FAMILIAR IGNACIO DOMEYKO,1,descartado,
METROPOLITANO NORTE,COLINA,CENTRO DE SALUD FAMILIAR LA REINA,1,,
METROPOLITANO NORTE,CONCHALÍ,CENTRO DE SALUD FAMILIAR ALBERTO BACHELET,1,,
METROPOLITANO NORTE,CONCHALÍ,CENTRO DE SALUD FAMILIAR JUANITA AGUIRRE,1,,
METROPOLITANO NORTE,LAMPA,CENTRO COMUNITARIO DE SALUD FAMILIAR BATUCO,1,,
METROPOLITANO NORTE,LAMPA,CENTRO DE SALUD FAMILIAR BATUCO,1,,
METROPOLITANO NORTE,LAMPA,CENTRO DE SALUD FAMILIAR JUAN PABLO SEGUNDO,1,,
METROPOLITANO NORTE,QUILICURA,CENTRO DE SALUD FAMILIAR IRENE FREI,1,,
METROPOLITANO NORTE,QUILICURA,CENTRO DE SALUD FAMILIAR MANUEL BUSTOS HUERTA,1,,
METROPOLITANO NORTE,QUILICURA,CENTRO DE SALUD FAMILIAR PRESIDENTE SALVADOR ALLENDE GOSSENS,1,,
METROPOLITANO NORTE,TILTIL,CENTRO DE SALUD FAMILIAR HUERTOS FAMILIARES,2,muy lejos,
METROPOLITANO OCCIDENTE,ALHUÉ,CENTRO DE SALUD FAMILIAR VILLA ALHUE,1,muy lejos,
METROPOLITANO OCCIDENTE,CURACAVÍ,HOSPITAL DE CURACAVI,3,muy lejos,
METROPOLITANO OCCIDENTE,EL MONTE,CENTRO DE SALUD FAMILIAR EL MONTE,1,muy lejos,
METROPOLITANO OCCIDENTE,ISLA DE MAIPO,CENTRO DE SALUD FAMILIAR ISLA DE MAIPO,1,muy lejos,
METROPOLITANO OCCIDENTE,ISLA DE MAIPO,CENTRO DE SALUD FAMILIAR LA ISLITA,1,muy lejos,
METROPOLITANO OCCIDENTE,LO PRADO,CENTRO DE SALUD FAMILIAR DR. CARLOS AVENDAÑO,1,,
METROPOLITANO OCCIDENTE,LO PRADO,CENTRO DE SALUD FAMILIAR PABLO NERUDA,1,,
METROPOLITANO OCCIDENTE,MARIA PINTO,CENTRO DE SALUD FAMILIAR ADRIANA MADRID DE COSTABAL,2,,
METROPOLITANO OCCIDENTE,PADRE HURTADO,CENTRO DE SALUD FAMILIAR JUAN PABLO II,1,,
METROPOLITANO OCCIDENTE,PEÑAFLOR,CENTRO DE SALUD FAMILIAR DR. FERNANDO MONCKEBERG,2,,
METROPOLITANO OCCIDENTE,PUDAHUEL,CENTRO DE SALUD FAMILIAR PUDAHUEL ESTRELLA,1,,
METROPOLITANO OCCIDENTE,PUDAHUEL,CENTRO DE SALUD FAMILIAR PUDAHUEL PONIENTE,1,,
METROPOLITANO OCCIDENTE,QUINTA NORMAL,CENTRO DE SALUD FAMILIAR ANDES,2,,
METROPOLITANO OCCIDENTE,QUINTA NORMAL,CENTRO DE SALUD FAMILIAR LO FRANCO,1,descartado,
METROPOLITANO OCCIDENTE,RENCA,CENTRO DE SALUD FAMILIAR DR. HERNAN URZUA MERINO,2,negreros,
METROPOLITANO OCCIDENTE,RENCA,CENTRO DE SALUD FAMILIAR RENCA,1,negreros,
METROPOLITANO OCCIDENTE,SAN PEDRO,CENTRO DE SALUD FAMILIAR SAN PEDRO,1,,
METROPOLITANO ORIENTE,MACUL,CENTRO DE SALUD FAMILIAR SANTA JULIA,1,,
METROPOLITANO SUR,BUIN,CENTRO DE SALUD FAMILIAR DR. HECTOR GARCIA,2,muy lejos,
METROPOLITANO SUR,EL BOSQUE,CENTRO DE SALUD FAMILIAR CANCILLER ORLANDO LETELIER,1,,
METROPOLITANO SUR,EL BOSQUE,CENTRO DE SALUD FAMILIAR DR. CARLOS LORCA TOBAR,1,,
METROPOLITANO SUR,EL BOSQUE,CENTRO DE SALUD FAMILIAR DRA. HAYDEE LOPEZ CASOOU,2,,
METROPOLITANO SUR,EL BOSQUE,CENTRO DE SALUD FAMILIAR SANTA LAURA,1,,
METROPOLITANO SUR,LA CISTERNA,CENTRO DE SALUD FAMILIAR EDUARDO FREI MONTALVA,1,,
METROPOLITANO SUR,LA CISTERNA,CENTRO DE SALUD FAMILIAR SANTA ANSELMA,1,,
METROPOLITANO SUR,LO ESPEJO,CENTRO DE SALUD FAMILIAR CLARA ESTRELLA,1,,
METROPOLITANO SUR,LO ESPEJO,CENTRO DE SALUD FAMILIAR DRA. MARIELA SALGADO ZEPEDA,2,,
METROPOLITANO SUR,LO ESPEJO,CENTRO DE SALUD FAMILIAR JULIO ACUÑA PINZON,2,,
METROPOLITANO SUR,LO ESPEJO,CENTRO DE SALUD FAMILIAR PUEBLO LO ESPEJO,2,,
METROPOLITANO SUR,PAINE,CENTRO DE SALUD FAMILIAR DR. MIGUEL ANGEL SOLAR (EX CESFAM PAINE),2,muy lejos,
METROPOLITANO SUR,PEDRO AGUIRRE CERDA,CENTRO DE SALUD FAMILIAR AMADOR NEGHME,1,,
METROPOLITANO SUR,PEDRO AGUIRRE CERDA,CENTRO DE SALUD FAMILIAR LO VALLEDOR NORTE,1,,
METROPOLITANO SUR,SAN BERNARDO,CENTRO DE SALUD FAMILIAR CAROL URZUA,1,muy lejos,
METROPOLITANO SUR,SAN BERNARDO,CENTRO DE SALUD FAMILIAR EL MANZANO,1,muy lejos,
METROPOLITANO SUR,SAN BERNARDO,CENTRO DE SALUD FAMILIAR JUAN PABLO II ( SAN BERNARDO),1,muy lejos,
METROPOLITANO SUR,SAN JOAQUÍN,CENTRO DE SALUD FAMILIAR ARTURO BAEZA GOÑI,1,,
METROPOLITANO SUR,SAN MIGUEL,CENTRO DE SALUD FAMILIAR BARROS LUCO,1,mal ambiente,
METROPOLITANO SUR,SAN MIGUEL,CENTRO DE SALUD FAMILIAR RECREO,1,mal ambiente,
METROPOLITANO SUR ORIENTE,LA FLORIDA,CENTRO DE SALUD FAMILIAR JOSE ALVO,1,,
METROPOLITANO SUR ORIENTE,LA FLORIDA,CENTRO DE SALUD FAMILIAR LA FLORIDA,1,,
METROPOLITANO SUR ORIENTE,LA FLORIDA,CENTRO DE SALUD FAMILIAR SANTA AMALIA,1,,
METROPOLITANO SUR ORIENTE,LA FLORIDA,CENTRO DE SALUD FAMILIAR TRINIDAD,1,,
METROPOLITANO SUR ORIENTE,LA FLORIDA,CENTRO DE SALUD FAMILIAR VILLA O'HIGGINS,2,,
METROPOLITANO SUR ORIENTE,LA GRANJA,CENTRO DE SALUD FAMILIAR LA GRANJA,1,,
METROPOLITANO SUR ORIENTE,LA PINTANA,CENTRO DE SALUD FAMILIAR EL ROBLE,2,,
METROPOLITANO SUR ORIENTE,LA PINTANA,CENTRO DE SALUD FAMILIAR FLOR FERNANDEZ,1,,
METROPOLITANO SUR ORIENTE,LA PINTANA,CENTRO DE SALUD FAMILIAR SAN RAFAEL,1,,
METROPOLITANO SUR ORIENTE,LA PINTANA,CENTRO DE SALUD FAMILIAR SANTIAGO DE NUEVA EXTREMADURA,1,,solo ambiente complejo
METROPOLITANO SUR ORIENTE,PIRQUE,CENTRO DE SALUD FAMILIAR DR. JOSE MANUEL BALMACEDA,2,no,
METROPOLITANO SUR ORIENTE,PUENTE ALTO,CENTRO DE SALUD FAMILIAR DR. ALEJANDRO DEL RIO,2,no,
METROPOLITANO SUR ORIENTE,PUENTE ALTO,CENTRO DE SALUD FAMILIAR PADRE MANUEL VILLASECA,2,no,
METROPOLITANO SUR ORIENTE,SAN JOSÉ DE MAIPO,HOSPITAL SAN JOSE DE MAIPO,4,no,